#prior_probability=0.1																	
feature_id	bayes_factor	posterior_probability	alpha0	alpha1	eta1_0	mu_TH1_MCF7.gene	mu_TH2_MCF7.gene	mu_TH3_MCF7.gene	mu_TD1_MCF7.gene	mu_TD2_MCF7.gene	mu_TD3_MCF7.gene		sd_TH1_MCF7.gene	sd_TH2_MCF7.gene	sd_TD1_MCF7.gene	sd_TD2_MCF7.gene	sd_TD3_MCF7.gene
PB2015.10093	0.0841094	0.00925896	2.34911	2.34921	-0.058038	2.32909	2.33266	2.30076	2.39409	2.36667	2.37351	0.0279318	0.0285668	0.025835	0.0265207	0.02493	0.0264089
PB2015.10094	1.0098	0.100881	-7.97662	-7.96141	-0.0263094	-12.8506	-12.7725	-12.8499	-13.1423	-13.1514	-13.179	9.54269	9.3568	9.40987	9.93007	9.72674	9.8394
PB2015.10095	0.416235	0.044204	2.79564	2.79611	0.172039	2.93239	2.87885	2.84122	2.76776	2.66843	2.69156	0.0250595	0.02526	0.0251262	0.0259368	0.0260426	0.02723
PB2015.10096	0.364685	0.0389426	2.1858	2.18504	0.186224	2.38487	2.21119	2.24272	2.11719	2.07095	2.08535	0.0301144	0.0320613	0.0288964	0.0313881	0.0311198	0.033711
PB2015.10097	0.103287	0.0113461	3.00514	3.00505	0.0799342	3.12305	3.04903	2.96966	3.05529	2.95094	2.8861	0.0188943	0.0201251	0.0198587	0.019268	0.0195122	0.0216948
PB2015.10098	0.0740835	0.0081643	5.19502	5.19651	-0.0504934	5.12048	5.20935	5.17643	5.19993	5.25502	5.21048	0.0209293	0.0195339	0.0180409	0.0183087	0.0174409	0.0184536
PB2015.10099	0.0413863	0.00457743	2.77232	2.77292	0.0211239	2.75705	2.8158	2.77662	2.80985	2.76818	2.70961	0.0349546	0.0350706	0.0332915	0.0333744	0.0323631	0.0340265
PB2015.101	1.28902	0.125281	4.9716	4.97335	0.149243	5.03988	5.06603	5.03873	4.91221	4.87796	4.90319	0.0103829	0.0104191	0.00969102	0.0105258	0.0103601	0.0105763
PB2015.1010	0.303351	0.0326066	2.35864	2.35632	0.202311	2.54538	2.44723	2.40877	2.34257	2.34299	2.03335	0.0645294	0.0634738	0.0637122	0.0676131	0.0655926	0.101788
PB2015.10100	0.148166	0.0161963	2.67857	2.67757	-0.098844	2.60358	2.61572	2.66271	2.67797	2.69808	2.81188	0.0363994	0.0367538	0.03269	0.0321853	0.0301025	0.0313934
PB2015.10101	0.0545283	0.00602221	2.27183	2.27236	0.0173455	2.34661	2.30118	2.19247	2.27454	2.28204	2.23376	0.0281444	0.0299763	0.0291377	0.0275412	0.0275598	0.0289444
PB2015.10102	0.088602	0.0097487	1.89967	1.89885	-0.0726528	1.7577	1.9217	1.90341	1.84607	1.9766	1.98657	0.0491497	0.0434828	0.0416895	0.0435102	0.038234	0.0408485
