transcript,control_minus_DMS_fp_10_coverage
PB2015.16720.1,149.828600406
PB2015.2578.1,149.66838565
PB2015.1335.3,149.61154717
PB2015.9936.1,149.582221207
PB2015.15375.1,149.546287809
PB2015.15240.4,149.492321839
PB2015.9760.6,149.396433878
PB2015.8888.3,149.229415462
PB2015.4870.8,149.134615385
PB2015.423.1,149.081630041
PB2015.9072.3,149.054078985
PB2015.9208.1,148.964555256
PB2015.11516.5,148.962091503
PB2015.11556.8,148.924567153
PB2015.12248.3,148.847283908
PB2015.3821.6,148.834044485
PB2015.13309.14,148.659920432
PB2015.15240.5,148.637168142
PB2015.14151.2,148.546091644
PB2015.16174.2,148.484440902
PB2015.13963.1,148.396922325
PB2015.12248.6,148.363900273
PB2015.8995.3,148.286620836
PB2015.5768.1,148.106486986
PB2015.5822.9,147.976668837
PB2015.11556.11,147.786004087
PB2015.10960.10,147.752286088
PB2015.423.2,147.675222113
PB2015.14015.1,147.563847644
PB2015.4739.2,147.535461872
PB2015.10186.17,147.431421699
PB2015.13676.2,147.334377348
PB2015.6674.4,147.289342867
PB2015.12766.6,147.262600036
PB2015.15744.1,147.259920328
PB2015.6427.7,147.134287478
PB2015.6843.3,147.098488513
PB2015.11651.2,147.015736767
PB2015.16776.1,146.998796607
PB2015.3399.1,146.978171642
PB2015.5357.6,146.919152339
PB2015.1733.3,146.917145674
PB2015.7299.5,146.882824253
PB2015.2379.1,146.800997506
PB2015.10186.13,146.73953018
PB2015.1064.1,146.557913669
PB2015.4294.5,146.502518384
PB2015.16186.4,146.433242836
PB2015.11148.4,146.429462669
PB2015.1337.1,146.306024858
PB2015.14641.3,146.216796796
PB2015.9895.5,146.18249094
PB2015.11796.1,146.124266145
PB2015.5196.6,145.945207743
PB2015.7139.6,145.708548758
PB2015.7794.1,145.700657762
PB2015.12900.6,145.69184953
PB2015.16148.2,145.652139946
PB2015.2514.2,145.638607085
PB2015.14221.15,145.563637575
PB2015.15126.2,145.554754098
PB2015.13801.3,145.550736799
PB2015.12178.1,145.487727273
PB2015.2143.1,145.447508691
PB2015.3676.16,145.405211726
PB2015.439.6,144.906819096
PB2015.1988.3,144.883818232
