transcript,hippuristanol_minus_DMS_fp_10_coverage
PB2015.14047.5,145.021397199
PB2015.10691.1,144.988335704
PB2015.12655.1,144.817508291
PB2015.6861.7,144.76546066
PB2015.10693.5,144.708314088
PB2015.13309.14,144.657655591
PB2015.777.4,144.628907316
PB2015.7794.10,144.450047831
PB2015.10960.10,144.441016642
PB2015.5089.4,144.424548736
PB2015.15298.1,144.386571626
PB2015.5822.9,144.285955905
PB2015.8539.7,144.200368895
PB2015.3033.3,144.193406593
PB2015.12895.1,144.179361179
PB2015.6969.5,144.033361274
PB2015.8858.2,144.029343629
PB2015.8724.1,143.993145816
PB2015.423.2,143.909305091
PB2015.14907.4,143.895301488
PB2015.5768.1,143.822798107
PB2015.5196.6,143.778222093
PB2015.16823.19,143.692302469
PB2015.15392.12,143.544136808
PB2015.10980.2,143.407835052
PB2015.16757.2,142.996594427
PB2015.771.5,142.8
PB2015.9760.6,142.728945057
PB2015.6737.1,142.682353713
PB2015.2789.2,142.5677975
PB2015.12900.6,142.528822055
PB2015.14221.15,142.401816125
PB2015.16391.2,142.350736842
PB2015.1442.1,142.242332016
PB2015.14095.6,142.118830092
PB2015.6674.6,141.993005906
PB2015.11605.4,141.905132193
PB2015.6580.4,141.831766519
PB2015.15318.3,141.789417077
PB2015.9760.8,141.705218521
PB2015.6412.5,141.655804528
PB2015.16092.3,141.624471459
PB2015.4447.5,141.514285714
PB2015.9072.3,141.414311594
PB2015.1335.3,141.263461538
PB2015.10634.1,141.216681487
PB2015.3676.7,141.167278503
PB2015.2847.14,141.025682865
PB2015.10960.6,140.948180902
PB2015.6427.5,140.857882655
PB2015.3399.1,140.723486683
PB2015.6005.1,140.627180216
PB2015.14221.13,140.614932051
PB2015.3269.2,140.548287972
PB2015.14327.2,140.430930267
PB2015.254.3,140.417520563
PB2015.11906.3,140.182943417
PB2015.13703.2,140.168279344
PB2015.3379.4,140.090782123
PB2015.9611.1,140.03908516
PB2015.9895.5,140.004630982
PB2015.9757.1,139.960260586
PB2015.15240.1,139.829298318
PB2015.14796.1,139.818704663
PB2015.10594.3,139.561068702
PB2015.13182.4,139.521475305
PB2015.4844.4,139.451470588
PB2015.2514.2,139.447630713
PB2015.11674.4,139.293405577
PB2015.11556.10,139.272946251
PB2015.10489.22,139.265473942
PB2015.12897.1,139.161650389
PB2015.7139.7,139.141372155
PB2015.4294.5,139.071182412
PB2015.14567.7,139.069637883
PB2015.16619.2,138.910802815
PB2015.14959.2,138.709118087
PB2015.10113.7,138.688977587
PB2015.16776.1,138.673662474
PB2015.14221.1,138.366387233
PB2015.14100.2,138.273777778
PB2015.6427.4,138.248346371
PB2015.12507.1,138.242971888
PB2015.6674.2,138.190284307
PB2015.12183.8,138.059431345
PB2015.15207.1,138.049606664
PB2015.7299.5,138.017121892
PB2015.9867.8,137.882676653
PB2015.12395.7,137.829538172
PB2015.4850.3,137.547272727
PB2015.14647.3,137.118266254
PB2015.3676.16,136.947734139
PB2015.2959.5,136.671771218
PB2015.11025.1,136.600616307
PB2015.1986.1,136.593894571
PB2015.13537.1,136.579300481
PB2015.11340.18,136.570336682
PB2015.5210.2,136.510502199
PB2015.10960.4,136.478117647
PB2015.2337.3,136.353209302
PB2015.13309.7,136.099726807
PB2015.13963.2,136.006362651
PB2015.15677.2,135.968051118
PB2015.3534.1,135.930357143
PB2015.3493.2,135.890250696
PB2015.8574.2,135.882747069
PB2015.2595.1,135.854621849
PB2015.8389.1,135.816613419
PB2015.6250.2,135.802229648
PB2015.794.1,135.722959417
PB2015.12395.6,135.466214476
PB2015.6479.5,135.391892971
PB2015.5623.4,135.355603448
PB2015.7707.3,135.352380952
PB2015.7139.6,135.294931371
PB2015.12868.7,135.127770083
PB2015.4225.2,135.0275154
PB2015.423.1,134.966369364
PB2015.5357.1,134.905107625
PB2015.586.1,134.882237087
PB2015.3676.9,134.880999699
PB2015.15372.7,134.862986804
PB2015.15651.14,134.749538309
PB2015.2278.1,134.651445087
PB2015.4870.6,134.600389484
PB2015.14641.3,134.54661336
PB2015.803.4,134.527002847
PB2015.12582.1,134.445020279
PB2015.14907.2,134.268212325
PB2015.6969.2,134.261672026
PB2015.3515.2,134.251255376
PB2015.1999.3,134.215
PB2015.4560.5,134.127826942
PB2015.7794.1,134.097635168
PB2015.2890.5,134.084291188
PB2015.15677.1,133.969863014
PB2015.13215.5,133.962749835
PB2015.9262.2,133.938235294
PB2015.8957.4,133.410618902
PB2015.9162.3,133.172105141
PB2015.8893.2,133.123399651
PB2015.12395.2,133.005681343
PB2015.854.1,132.9966045
PB2015.15392.15,132.97503616
PB2015.12889.2,132.952777778
PB2015.16413.5,132.847304544
PB2015.12507.3,132.78649789
PB2015.7299.22,132.631730079
PB2015.16847.1,132.629059155
PB2015.15392.18,132.532249874
PB2015.16776.21,132.499191778
PB2015.15752.8,132.475335663
PB2015.8171.1,132.439305211
PB2015.15392.1,132.393716143
PB2015.1651.1,132.389575972
PB2015.14301.2,132.384224172
PB2015.13801.3,132.166900734
PB2015.4583.6,132.094386633
PB2015.7323.5,132.009968389
PB2015.12766.6,131.997474349
PB2015.15744.1,131.948046982
PB2015.1988.3,131.920676242
PB2015.6702.1,131.840881764
PB2015.7925.2,131.837524638
PB2015.16125.1,131.801166861
PB2015.8893.1,131.649990349
PB2015.7139.19,131.637493504
PB2015.2781.2,131.504297583
PB2015.3345.3,131.48466768
PB2015.10077.1,131.442321429
PB2015.11571.1,131.372338308
PB2015.2393.5,131.369947492
PB2015.15240.3,131.345295203
PB2015.8702.1,131.304437367
PB2015.11409.4,131.2300397
PB2015.2350.10,131.164016141
PB2015.6869.5,131.160059172
PB2015.11301.3,131.072814755
PB2015.1335.1,130.896650542
PB2015.417.3,130.769851615
PB2015.13837.1,130.717751323
PB2015.10082.17,130.664797738
PB2015.9966.1,130.65337763
PB2015.11725.3,130.616111817
PB2015.1981.3,130.397972973
PB2015.6843.3,130.388671024
PB2015.12889.1,130.340599455
PB2015.15651.11,130.32162397
PB2015.2337.1,130.289911394
PB2015.10315.3,130.187188922
PB2015.16690.2,130.110927649
PB2015.3777.3,129.981964348
PB2015.871.5,129.95
PB2015.7794.7,129.811545505
PB2015.1249.1,129.809360436
PB2015.2550.33,129.806997343
PB2015.9448.9,129.735787859
PB2015.7299.13,129.674049846
PB2015.7299.10,129.324188928
PB2015.9867.9,129.298160412
PB2015.7925.1,129.172633254
PB2015.16148.1,129.097853989
PB2015.4719.5,129.0953125
PB2015.9772.6,129.07764977
PB2015.5546.2,129.039751553
PB2015.8642.1,129.009345794
PB2015.2537.11,128.941721854
PB2015.16823.13,128.904633125
PB2015.16046.5,128.516423228
PB2015.7299.30,128.378766806
PB2015.3117.3,128.367943175
PB2015.737.10,128.308789128
PB2015.7345.1,128.223126121
PB2015.101.1,128.212711311
PB2015.1051.11,128.176936547
PB2015.4087.1,128.166049957
